codgr;libgr;sougr;libsougr;sougr ciqual correspondant;SAIN 5 opt;LIM3;100_LIM3;distance_origine
17;viande;1;agneau;agneau et mouton;2.270464948;7.685543075;92.31445692;92.34237363
17;viande;2;boeuf en pièces ou haché;bœuf et veau;3.717377843;4.964870947;95.03512905;95.10780542
17;viande;3;porc;porc;2.899576483;9.409447119;90.59055288;90.63694509
17;viande;4;veau;bœuf et veau;3.717377843;4.964870947;95.03512905;95.10780542
18;volaille et gibier;1;volailles et lapins;poulet, dinde;5.975078718;3.168184589;96.83181541;97.01598859
21;poissons;1;poissons de mer;poissons cuits + poissons crus;11.13601591;3.283248489;96.71675151;97.35574391
21;poissons;2;poissons d'eau douce;poissons cuits + poissons crus;11.13601591;3.283248489;96.71675151;97.35574391
22;crustacés et mollusques;2;crustacés;mollusques et crustacés cuits , mollusques et crustacés crus;10.79047444;3.342754242;96.65724576;97.25768605
25;légumes secs;1;légumes secs;légumineuses cuites;12.37849942;1.575936107;98.42406389;99.19941331
25;légumes secs;2;légumes secs préparés;légumineuses cuites;12.37849942;1.575936107;98.42406389;99.19941331
